"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-05-09,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-09,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-05-10,"BC","All","All",13,18.29
2020-05-10,"BC","Fraser","All",7,12.57
2020-05-10,"BC","Fraser","Fraser East",1,5.43
2020-05-10,"BC","Fraser","Fraser North",0,2
2020-05-10,"BC","Fraser","Fraser South",6,5.14
2020-05-10,"BC","Fraser","Unknown",0,0
2020-05-10,"BC","Interior","All",4,1
2020-05-10,"BC","Interior","East Kootenay",1,0.14
2020-05-10,"BC","Interior","Kootenay Boundary",0,0
2020-05-10,"BC","Interior","Okanagan",0,0.29
2020-05-10,"BC","Interior","Thompson Cariboo Shuswap",3,0.57
2020-05-10,"BC","Northern","All",1,0.86
2020-05-10,"BC","Northern","Northeast",0,0
2020-05-10,"BC","Northern","Northern Interior",1,0.86
2020-05-10,"BC","Northern","Northwest",0,0
2020-05-10,"BC","Northern","Unknown",0,0
2020-05-10,"BC","Vancouver Coastal","All",1,3.71
2020-05-10,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.71
2020-05-10,"BC","Vancouver Coastal","Richmond",0,0.29
2020-05-10,"BC","Vancouver Coastal","Unknown",0,0
2020-05-10,"BC","Vancouver Coastal","Vancouver",1,2.71
2020-05-10,"BC","Vancouver Island","All",0,0.14
2020-05-10,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-10,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-05-10,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-10,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-05-11,"BC","All","All",12,16.71
2020-05-11,"BC","Fraser","All",10,11
2020-05-11,"BC","Fraser","Fraser East",0,3.86
2020-05-11,"BC","Fraser","Fraser North",2,1.86
2020-05-11,"BC","Fraser","Fraser South",8,5.29
2020-05-11,"BC","Fraser","Unknown",0,0
2020-05-11,"BC","Interior","All",0,1
2020-05-11,"BC","Interior","East Kootenay",0,0.14
2020-05-11,"BC","Interior","Kootenay Boundary",0,0
2020-05-11,"BC","Interior","Okanagan",0,0.29
2020-05-11,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-11,"BC","Northern","All",0,0.86
2020-05-11,"BC","Northern","Northeast",0,0
2020-05-11,"BC","Northern","Northern Interior",0,0.86
2020-05-11,"BC","Northern","Northwest",0,0
2020-05-11,"BC","Northern","Unknown",0,0
2020-05-11,"BC","Vancouver Coastal","All",2,3.71
2020-05-11,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.43
2020-05-11,"BC","Vancouver Coastal","Richmond",1,0.43
2020-05-11,"BC","Vancouver Coastal","Unknown",0,0
2020-05-11,"BC","Vancouver Coastal","Vancouver",1,2.86
2020-05-11,"BC","Vancouver Island","All",0,0.14
2020-05-11,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-11,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-05-11,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-11,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-05-12,"BC","All","All",10,14.57
2020-05-12,"BC","Fraser","All",6,9.57
2020-05-12,"BC","Fraser","Fraser East",4,3.71
2020-05-12,"BC","Fraser","Fraser North",1,1.57
2020-05-12,"BC","Fraser","Fraser South",1,4.29
2020-05-12,"BC","Fraser","Unknown",0,0
2020-05-12,"BC","Interior","All",2,1.14
2020-05-12,"BC","Interior","East Kootenay",1,0.29
2020-05-12,"BC","Interior","Kootenay Boundary",0,0
2020-05-12,"BC","Interior","Okanagan",0,0.14
2020-05-12,"BC","Interior","Thompson Cariboo Shuswap",1,0.71
2020-05-12,"BC","Northern","All",0,0.43
2020-05-12,"BC","Northern","Northeast",0,0
2020-05-12,"BC","Northern","Northern Interior",0,0.43
2020-05-12,"BC","Northern","Northwest",0,0
2020-05-12,"BC","Northern","Unknown",0,0
2020-05-12,"BC","Vancouver Coastal","All",2,3.29
2020-05-12,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.43
2020-05-12,"BC","Vancouver Coastal","Richmond",0,0.14
2020-05-12,"BC","Vancouver Coastal","Unknown",0,0
2020-05-12,"BC","Vancouver Coastal","Vancouver",2,2.71
2020-05-12,"BC","Vancouver Island","All",0,0.14
2020-05-12,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-12,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-05-12,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-12,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-05-13,"BC","All","All",23,15.57
2020-05-13,"BC","Fraser","All",22,11.71
2020-05-13,"BC","Fraser","Fraser East",2,3.43
2020-05-13,"BC","Fraser","Fraser North",1,1.57
2020-05-13,"BC","Fraser","Fraser South",19,6.71
2020-05-13,"BC","Fraser","Unknown",0,0
2020-05-13,"BC","Interior","All",0,1
2020-05-13,"BC","Interior","East Kootenay",0,0.29
2020-05-13,"BC","Interior","Kootenay Boundary",0,0
2020-05-13,"BC","Interior","Okanagan",0,0.14
2020-05-13,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-13,"BC","Northern","All",1,0.57
2020-05-13,"BC","Northern","Northeast",1,0.14
2020-05-13,"BC","Northern","Northern Interior",0,0.43
2020-05-13,"BC","Northern","Northwest",0,0
2020-05-13,"BC","Northern","Unknown",0,0
2020-05-13,"BC","Vancouver Coastal","All",0,2.14
2020-05-13,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-05-13,"BC","Vancouver Coastal","Richmond",0,0.14
2020-05-13,"BC","Vancouver Coastal","Unknown",0,0
2020-05-13,"BC","Vancouver Coastal","Vancouver",0,1.86
2020-05-13,"BC","Vancouver Island","All",0,0.14
2020-05-13,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-13,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-05-13,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-13,"Out of Canada","Out of Canada","Out of Canada",1,0.14
2020-05-14,"BC","All","All",8,13.29
2020-05-14,"BC","Fraser","All",8,10.86
2020-05-14,"BC","Fraser","Fraser East",3,2.57
2020-05-14,"BC","Fraser","Fraser North",0,1.43
2020-05-14,"BC","Fraser","Fraser South",5,6.86
2020-05-14,"BC","Fraser","Unknown",0,0
2020-05-14,"BC","Interior","All",0,0.86
2020-05-14,"BC","Interior","East Kootenay",0,0.29
2020-05-14,"BC","Interior","Kootenay Boundary",0,0
2020-05-14,"BC","Interior","Okanagan",0,0
2020-05-14,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-14,"BC","Northern","All",0,0.43
2020-05-14,"BC","Northern","Northeast",0,0.14
2020-05-14,"BC","Northern","Northern Interior",0,0.29
2020-05-14,"BC","Northern","Northwest",0,0
2020-05-14,"BC","Northern","Unknown",0,0
2020-05-14,"BC","Vancouver Coastal","All",0,1.14
2020-05-14,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
